symbol,date removed
WPX,3/21/2014
WU,12/20/2021
WYN,5/31/2018
X,7/2/2014
XEC,3/3/2020
XL,9/14/2018
XLNX,2/15/2022
XRAY,4/3/2024
XRX,3/22/2021
XTO,6/28/2010
YHOO,6/19/2017
ZION,3/18/2024
